20201019133124,10.20.30.1/16,1
20201019133125,10.20.30.2/16,25
20201019133126,10.20.30.3/16,50
20201019133224,10.20.30.1/16,-
20201019133225,10.20.30.2/16,-
20201019133226,10.20.30.3/16,-
20201019133324,10.20.30.1/16,1
20201019133325,10.20.30.2/16,-
20201019133326,10.20.30.3/16,-
20201019133424,10.20.30.1/16,-
20201019133425,10.20.30.2/16,25
20201019133426,10.20.30.3/16,-
20201019133524,10.20.30.1/16,1
20201019133525,10.20.30.2/16,-
20201019133526,10.20.30.3/16,50
20201019133624,10.20.30.1/16,-
20201019133625,10.20.30.2/16,-
20201019133626,10.20.30.3/16,-
20201019133724,10.20.30.1/16,1
20201019133725,10.20.30.2/16,25
20201019133726,10.20.30.3/16,-
20201019133824,10.20.30.1/16,-
20201019133825,10.20.30.2/16,-
20201019133826,10.20.30.3/16,-
20201019133924,10.20.30.1/16,1
20201019133925,10.20.30.2/16,-
20201019133926,10.20.30.3/16,50
20201019134024,10.20.30.1/16,-
20201019134025,10.20.30.2/16,25
20201019134026,10.20.30.3/16,-
20201019134124,10.20.30.1/16,1
20201019134125,10.20.30.2/16,-
20201019134126,10.20.30.3/16,-
20201019134224,10.20.30.1/16,-
20201019134225,10.20.30.2/16,-
20201019134226,10.20.30.3/16,-
20201019134324,10.20.30.1/16,1
20201019134325,10.20.30.2/16,25
20201019134326,10.20.30.3/16,50
20201019134424,10.20.30.1/16,-
20201019134425,10.20.30.2/16,-
20201019134426,10.20.30.3/16,-
20201019134524,10.20.30.1/16,1
20201019134525,10.20.30.2/16,-
20201019134526,10.20.30.3/16,-
20201019134624,10.20.30.1/16,-
20201019134625,10.20.30.2/16,25
20201019134626,10.20.30.3/16,-
20201019134724,10.20.30.1/16,1
20201019134725,10.20.30.2/16,-
20201019134726,10.20.30.3/16,50
20201019134824,10.20.30.1/16,-
20201019134825,10.20.30.2/16,-
20201019134826,10.20.30.3/16,-
20201019134924,10.20.30.1/16,1
20201019134925,10.20.30.2/16,25
20201019134926,10.20.30.3/16,-
20201019135024,10.20.30.1/16,-
20201019135025,10.20.30.2/16,-
20201019135026,10.20.30.3/16,-
